antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,video,0.5,0.0019230769230769232,0.0019230769230769232,0.0038461538461538464,2.0,0.0009615384615384616,1.0019305019305018
rich,Swedish Literature Bank Author ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,RERO ID (obsolete),0.5,0.12908653846153847,0.12908653846153847,0.25817307692307695,2.0,0.06454326923076924,1.1740116655865198
rich,Philosophica ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Encyclopedia of the Great Plains ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,NSK ID,0.5,0.05456730769230769,0.05456730769230769,0.10913461538461539,2.0,0.027283653846153846,1.0612520237452778
rich,Spotify artist ID,0.5,0.001201923076923077,0.001201923076923077,0.002403846153846154,2.0,0.0006009615384615385,1.0012048192771084
rich,Twitter username,0.5,0.08581730769230769,0.08581730769230769,0.17163461538461539,2.0,0.042908653846153846,1.103598374927452
rich,EGAXA ID,0.5,0.005288461538461539,0.005288461538461539,0.010576923076923078,2.0,0.0026442307692307694,1.0053449951409135
rich,WorldCat Entities ID,0.5,0.013461538461538462,0.013461538461538462,0.026923076923076925,2.0,0.006730769230769231,1.0138339920948618
rich,Myspace ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,IdRef ID,0.5,0.44495192307692305,0.44495192307692305,0.8899038461538461,2.0,0.22247596153846153,5.041484716157203
rich,Erdős number,0.5,0.07716346153846154,0.07716346153846154,0.15432692307692308,2.0,0.03858173076923077,1.0912450255827175
rich,7 Days person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,HuijiWiki article ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Databazeknih.cz author ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,second family name in Spanish name,0.5,0.003125,0.003125,0.00625,2.0,0.0015625,1.0031446540880502
rich,YCBA agent ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,University of Barcelona authority ID (former scheme),0.5,0.04735576923076923,0.04735576923076923,0.09471153846153846,2.0,0.023677884615384615,1.0523101433882103
rich,Cinematografo.it name or company ID (new),0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Smithsonian American Art Museum person/institution ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,PORTO@Iris author ID,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,has written for,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,Store norske leksikon ID,0.5,0.014423076923076924,0.014423076923076924,0.028846153846153848,2.0,0.007211538461538462,1.0148514851485149
rich,Lokalhistoriewiki.no ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Hungarian National Namespace person ID (new),0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,Encyclopaedia Beliana ID,0.5,0.002403846153846154,0.002403846153846154,0.004807692307692308,2.0,0.001201923076923077,1.002415458937198
rich,Genius artist ID,0.5,0.001201923076923077,0.001201923076923077,0.002403846153846154,2.0,0.0006009615384615385,1.0012048192771084
rich,Allcinema person ID,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,official blog URL,0.5,0.010096153846153847,0.010096153846153847,0.020192307692307693,2.0,0.005048076923076923,1.0103042198233563
rich,nominated for,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,NORAF ID,0.5,0.25096153846153846,0.25096153846153846,0.5019230769230769,2.0,0.12548076923076923,1.5038610038610039
rich,Runeberg author ID,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,Crunchbase person ID,0.5,0.008173076923076924,0.008173076923076924,0.016346153846153847,2.0,0.004086538461538462,1.0083088954056696
rich,TheyWorkForYou ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,NLP ID (old),0.5,0.06682692307692308,0.06682692307692308,0.13365384615384615,2.0,0.03341346153846154,1.0771365149833518
rich,Early Modern Letters Online person ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,DACS ID (former),0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,National Academy of Sciences member ID,0.5,0.023798076923076922,0.023798076923076922,0.047596153846153844,2.0,0.011899038461538461,1.024987380111055
rich,native language,0.5,0.042548076923076925,0.042548076923076925,0.08509615384615385,2.0,0.021274038461538462,1.0465055176037834
rich,Revised Romanization,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,CYT/CCS,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Amazon author ID,0.5,0.008653846153846154,0.008653846153846154,0.01730769230769231,2.0,0.004326923076923077,1.0088062622309197
rich,Cairn author ID,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,DAAO ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,BVMC person ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,Prophy author ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,ISDS ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,name,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,owner of,0.5,0.007211538461538462,0.007211538461538462,0.014423076923076924,2.0,0.003605769230769231,1.0073170731707317
rich,Masaryk University person ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,Shanghai Library person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,CONOR.SI ID,0.5,0.10673076923076923,0.10673076923076923,0.21346153846153845,2.0,0.05336538461538461,1.1356968215158925
rich,Google+ ID,0.5,0.004326923076923077,0.004326923076923077,0.008653846153846154,2.0,0.0021634615384615386,1.0043646944713869
rich,The Encyclopedia of Fantasy ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,British Museum person or institution ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,mother,0.5,0.011778846153846154,0.011778846153846154,0.023557692307692307,2.0,0.005889423076923077,1.0120630231413097
rich,birth name,0.5,0.03990384615384615,0.03990384615384615,0.0798076923076923,2.0,0.019951923076923075,1.0433646812957158
rich,Boijmans artist ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,kulturstiftung.org person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Basketball-Reference.com WNBA player ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Vokrug.tv person ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,PM20 folder ID,0.5,0.005288461538461539,0.005288461538461539,0.010576923076923078,2.0,0.0026442307692307694,1.0053449951409135
rich,Gran Enciclopèdia Catalana ID,0.5,0.011538461538461539,0.011538461538461539,0.023076923076923078,2.0,0.0057692307692307696,1.0118110236220472
rich,Encyclopædia Britannica contributor ID,0.5,0.003125,0.003125,0.00625,2.0,0.0015625,1.0031446540880502
rich,XING profile ID,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,signature,0.5,0.00985576923076923,0.00985576923076923,0.01971153846153846,2.0,0.004927884615384615,1.0100539480137323
rich,Semantic Scholar topic ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,MangaSeek person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,MusicBrainz artist ID,0.5,0.014182692307692308,0.014182692307692308,0.028365384615384615,2.0,0.007091346153846154,1.0145967342899556
rich,MMB ID,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,Guardian topic ID,0.5,0.0016826923076923078,0.0016826923076923078,0.0033653846153846156,2.0,0.0008413461538461539,1.00168837433671
rich,name in native language,0.5,0.14182692307692307,0.14182692307692307,0.28365384615384615,2.0,0.07091346153846154,1.197986577181208
rich,Great Russian Encyclopedia portal ID,0.5,0.007451923076923077,0.007451923076923077,0.014903846153846155,2.0,0.0037259615384615387,1.0075646656905808
rich,place of burial,0.5,0.020913461538461537,0.020913461538461537,0.041826923076923074,2.0,0.010456730769230769,1.0218263923733066
rich,SlideShare username,0.5,0.0016826923076923078,0.0016826923076923078,0.0033653846153846156,2.0,0.0008413461538461539,1.00168837433671
rich,KINENOTE person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,University of Barcelona authority ID,0.5,0.07596153846153846,0.07596153846153846,0.1519230769230769,2.0,0.03798076923076923,1.0895691609977325
rich,SciSpace author ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,NUKAT ID,0.5,0.39495192307692306,0.39495192307692306,0.7899038461538461,2.0,0.19747596153846153,2.8798627002288324
rich,lifestyle,0.5,0.0016826923076923078,0.0016826923076923078,0.0033653846153846156,2.0,0.0008413461538461539,1.00168837433671
rich,PORT person ID,0.5,0.0016826923076923078,0.0016826923076923078,0.0033653846153846156,2.0,0.0008413461538461539,1.00168837433671
rich,CNR ExploRA author ID,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,Journalisted ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,MacTutor biography ID,0.5,0.019230769230769232,0.019230769230769232,0.038461538461538464,2.0,0.009615384615384616,1.02
rich,LiveJournal ID,0.5,0.0014423076923076924,0.0014423076923076924,0.0028846153846153848,2.0,0.0007211538461538462,1.001446480231437
rich,ČSFD person ID,0.5,0.005048076923076923,0.005048076923076923,0.010096153846153847,2.0,0.0025240384615384617,1.0050995628946089
rich,WBPLN author ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Treccani's Dizionario di Storia ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Relationship Science person ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Iris-AperTO author ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,CNRS Talent page,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,The Conversation author ID,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,Regensburg Classification,0.5,0.0019230769230769232,0.0019230769230769232,0.0038461538461538464,2.0,0.0009615384615384616,1.0019305019305018
rich,Le Monde journalist ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,CiteSeerX person ID,0.5,0.001201923076923077,0.001201923076923077,0.002403846153846154,2.0,0.0006009615384615385,1.0012048192771084
rich,TASS reference,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,DeSmog ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Uppslagsverket Finland ID,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,Academy of Athens authority ID,0.5,0.0021634615384615386,0.0021634615384615386,0.004326923076923077,2.0,0.0010817307692307693,1.002172863351038
rich,medical condition,0.5,0.0033653846153846156,0.0033653846153846156,0.006730769230769231,2.0,0.0016826923076923078,1.0033881897386254
rich,FemBio ID,0.5,0.0014423076923076924,0.0014423076923076924,0.0028846153846153848,2.0,0.0007211538461538462,1.001446480231437
rich,FamousFix topic ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Luding designer ID,0.5,0.001201923076923077,0.001201923076923077,0.002403846153846154,2.0,0.0006009615384615385,1.0012048192771084
rich,English Vikidia ID,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,Re.Public@Polimi author ID,0.5,0.0026442307692307694,0.0026442307692307694,0.005288461538461539,2.0,0.0013221153846153847,1.002658289028516
rich,Mastodon address,0.5,0.015625,0.015625,0.03125,2.0,0.0078125,1.0161290322580645
rich,Know Your Meme ID,0.5,0.003605769230769231,0.003605769230769231,0.007211538461538462,2.0,0.0018028846153846155,1.0036319612590798
rich,Eldoblaje original actor ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Dictionary of Welsh Biography ID,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,Omni topic ID,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
rich,Elo rating,0.5,0.0007211538461538462,0.0007211538461538462,0.0014423076923076924,2.0,0.0003605769230769231,1.0007221954742416
